Species,Population,LifeStage,Year,ID,Name,NestName,Sex,Age,CalcAge,BandDate,BandJul,HatchJul,BandedBroodSize,WithinBroodSizeRank,Mass,Tarsus,BillDepth,BillWidth,BillNT,TEC,Skull,Primary7,ExposedPrimary7,WingChord,TailLength
Corvus brachyrhynchos,Ithaca,nestling,2005,HM PECI05,HM,PECI05,F,25,26,5/21/2005,141,115,3,2,392,59.2,12.7,13,21,33.8,40.5,104,55,162,53
Corvus brachyrhynchos,Ithaca,nestling,2005,IL NEEL05,IL,NEEL05,M,30,28,5/22/2005,142,114,4,1,372,59.3,12.8,12,22.3,35.1,42.8,135,93,190,79
Corvus brachyrhynchos,Ithaca,nestling,2005,JK NEEL05,JK,NEEL05,M,30,29,5/22/2005,142,113,4,2,423,58.9,14.5,13.8,24.7,38.4,42.9,149,105,206,97
Corvus brachyrhynchos,Ithaca,nestling,2005,KJ NEEL05,KJ,NEEL05,M,30,27,5/22/2005,142,115,4,4,365,55.2,13.3,12.7,24.6,37.1,42.5,130,82,183,68
Corvus brachyrhynchos,Ithaca,nestling,2005,MH NEEL05,MH,NEEL05,F,30,28,5/22/2005,142,114,4,3,347,55.5,12.8,12.6,23.7,35.9,41.7,138,92,193,79
Corvus brachyrhynchos,Ithaca,nestling,2005,OF SEPG05,OF,SEPG05,M,26,27,5/22/2005,142,115,2,1,415,61.2,12.3,12.2,24.8,38.2,41.3,116,85,189,74
Corvus brachyrhynchos,Ithaca,nestling,2005,PE SEPG05,PE,SEPG05,M,26,26,5/22/2005,142,116,2,2,347,58.8,12.4,12.3,21.6,35,41,121,79,179,54
Corvus brachyrhynchos,Ithaca,nestling,2005,QD WARO05,QD,WARO05,M,33,33,5/22/2005,142,109,2,1,480,62.7,14.8,14.2,25.3,39.3,44.7,162,124,230,111
Corvus brachyrhynchos,Ithaca,nestling,2005,RC SMUR05,RC,SMUR05,M,30,27,5/23/2005,143,116,3,1,410,59.9,13.8,12.8,25.3,37.1,45.2,129,93,183,75
Corvus brachyrhynchos,Ithaca,nestling,2005,SB SMUR05,SB,SMUR05,F,30,28,5/23/2005,143,115,3,2,379,57.2,13.1,12.4,24.1,37.5,43.1,141,107,195,81
Corvus brachyrhynchos,Ithaca,nestling,2005,TA SMUR05,TA,SMUR05,F,30,28,5/23/2005,143,115,3,3,368,56.8,13.4,12.5,24.4,37.4,42.4,139,100,193,80
Corvus brachyrhynchos,Ithaca,nestling,2005,UZ EQUI05,UZ,EQUI05,F,26,27,5/23/2005,143,116,3,2,408,57.7,14.2,13.2,22.3,35.1,40.5,119,83,176,64
Corvus brachyrhynchos,Ithaca,nestling,2005,VY EQUI05,VY,EQUI05,M,26,27,5/23/2005,143,116,3,1,412,59.6,13.2,13.4,22.4,34.3,45.8,124,78,179,69
Corvus brachyrhynchos,Ithaca,nestling,2005,WX WWCK05,WX,WWCK05,M,29,28,5/23/2005,143,115,5,1,431,64.1,14.1,12.4,25,39.6,44.1,141,99,199,74
Corvus brachyrhynchos,Ithaca,nestling,2005,XW WWCK05,XW,WWCK05,M,29,27,5/23/2005,143,116,5,3,424,60,14,13,24.2,37.1,44.5,131,93,189,79
Corvus brachyrhynchos,Ithaca,nestling,2005,ZU WWCK05,ZU,WWCK05,F,29,27,5/23/2005,143,116,5,5,405,56.6,13.1,11.7,23.5,35.1,42.4,130,89,188,75
Corvus brachyrhynchos,Ithaca,nestling,2005,AS WWCK05,AS,WWCK05,M,29,27,5/23/2005,143,116,5,4,440,58.3,13.9,12.6,23.3,36.7,41.1,118,73,171,66
Corvus brachyrhynchos,Ithaca,nestling,2005,BR HOMC05,BR,HOMC05,F,30,25,5/24/2005,144,119,3,3,320,56.1,12.2,13.4,22.6,35.8,39.7,98,47,155,35
Corvus brachyrhynchos,Ithaca,nestling,2005,CQ HOMC05,CQ,HOMC05,F,30,27,5/24/2005,144,117,3,1,387,59.8,13,13.4,23.8,37.5,42.5,124,74,183,70
Corvus brachyrhynchos,Ithaca,nestling,2005,DP EDBL05,DP,EDBL05,M,30,28,5/24/2005,144,116,3,3,456,61.5,13.8,13,28.3,39,43.9,138,96,206,82
Corvus brachyrhynchos,Ithaca,nestling,2005,EO EDBL05,EO,EDBL05,M,30,28,5/24/2005,144,116,3,2,460,61.6,12.9,12.5,25.8,39.6,44.2,126,88,200,87
Corvus brachyrhynchos,Ithaca,nestling,2005,FN EDBL05,FN,EDBL05,M,30,29,5/24/2005,144,115,3,1,460,63.3,14,13,26.6,40.4,44.2,143,98,207,96
Corvus brachyrhynchos,Ithaca,nestling,2005,HL HORC05,HL,HORC05,F,28,26,5/24/2005,144,118,2,2,330,56.3,11,11.8,20.8,32.4,40.2,102,57,157,49
Corvus brachyrhynchos,Ithaca,nestling,2005,IK HORC05,IK,HORC05,M,28,27,5/24/2005,144,117,2,1,393,59,13.3,12.8,22.9,35.8,42.2,130,83,188,72
Corvus brachyrhynchos,Ithaca,nestling,2005,MG PGLN05,MG,PGLN05,F,28,27,5/25/2005,145,118,1,1,350,56.5,12.3,12.3,22.3,32.4,43.9,129.5,93.5,182,75
Corvus brachyrhynchos,Ithaca,nestling,2005,NF EFER05,NF,EFER05,F,26,26,5/25/2005,145,119,3,3,390,60.1,12.8,11.9,23.5,35.2,40.4,110,64,177,63
Corvus brachyrhynchos,Ithaca,nestling,2005,RB EFER05,RB,EFER05,M,26,25,5/25/2005,145,120,3,2,378,60.8,11.9,13.5,22.3,33.9,43.3,90,45,152,45
Corvus brachyrhynchos,Ithaca,nestling,2005,TZ YFER05,TZ,YFER05,M,33,33,5/26/2005,146,113,4,3,486,62.9,13.2,12.8,25.2,39.4,41.4,132,85,195,85
Corvus brachyrhynchos,Ithaca,nestling,2005,UY YFER05,UY,YFER05,F,33,33,5/26/2005,146,113,4,4,426,60.4,12.8,12.4,25.8,36.9,45.5,135,103,205,92
Corvus brachyrhynchos,Ithaca,nestling,2005,VX YFER05,VX,YFER05,M,33,33,5/26/2005,146,113,4,1,465,65.6,14.6,12.4,27.6,36.3,47.9,135,97,205,92
Corvus brachyrhynchos,Ithaca,nestling,2005,XV YFER05,XV,YFER05,M,33,33,5/26/2005,146,113,4,2,442,64.4,14.7,14.9,25.8,39.8,44.7,149,104,213,115
Corvus brachyrhynchos,Ithaca,nestling,2005,ZT VAIR05,ZT,VAIR05,F,28,26,5/30/2005,150,124,5,3,360,59.4,12.2,13.3,22.6,35.5,40.6,110,61,169,61
Corvus brachyrhynchos,Ithaca,nestling,2005,AR VAIR05,AR,VAIR05,F,28,27,5/30/2005,150,123,5,4,377,59.2,13,13.4,22.3,37,39.2,131,79,185,70
Corvus brachyrhynchos,Ithaca,nestling,2005,BQ VAIR05,BQ,VAIR05,M,28,27,5/30/2005,150,123,5,1,453,61,14.1,13.6,25.7,37.7,43.8,133,79,194,76
Corvus brachyrhynchos,Ithaca,nestling,2005,CP VAIR05,CP,VAIR05,M,28,26,5/30/2005,150,124,5,5,410,59,13.7,13.3,24.9,36.4,42.1,117,77,195,63
Corvus brachyrhynchos,Ithaca,nestling,2005,DO VAIR05,DO,VAIR05,F,28,27,5/30/2005,150,123,5,2,358,59.9,12.5,13.7,22.9,34.3,42.3,127,80,183,73
Corvus brachyrhynchos,Ithaca,nestling,2005,EN WKAY05,EN,WKAY05,F,26,26,5/30/2005,150,124,1,1,205,45.2,10.9,12.4,17,29,38.7,104,68,154,49
Corvus brachyrhynchos,Ithaca,nestling,2005,GL JSUP05,GL,JSUP05,F,26,24,6/7/2005,158,134,1,1,203,47,11.5,12.1,17.7,29.7,35.8,63,26,113,23
Corvus brachyrhynchos,Ithaca,nestling,2005,HK IRIS05,HK,IRIS05,F,28,28,6/7/2005,158,130,4,2,398,59.3,14.5,12.6,25.4,33.1,48.9,132,100,202,86
Corvus brachyrhynchos,Ithaca,nestling,2005,IJ IRIS05,IJ,IRIS05,F,26,25,6/7/2005,158,133,4,3,390,59,12.9,13.2,23.2,32.4,45,99,63,163,48
Corvus brachyrhynchos,Ithaca,nestling,2005,KH IRIS05,KH,IRIS05,F,28,28,6/7/2005,158,130,4,1,425,59.9,14,13.5,27.4,40.4,43.5,135,89,192,80
Corvus brachyrhynchos,Ithaca,nestling,2005,LG IRIS05,LG,IRIS05,F,27,27,6/7/2005,158,131,4,4,400,55.5,13.2,13.4,24.8,37.6,42.9,121,82,180,71
Corvus brachyrhynchos,Ithaca,nestling,2005,MF SLI205,MF,SLI205,F,24,24,6/13/2005,164,140,1,1,290,52.5,12.3,12.8,20.4,31.6,36.1,59,23,108,19
